year,week,incidence
2007,50,1.67351
2007,51,1.95096
2007,52,2.50019
2008,1,2.43939
2008,2,2.29319
2008,3,2.62907
2008,4,3.92966
2008,5,4.99202
2008,6,5.7776
2008,7,5.98318
2008,8,5.61677
2008,9,4.53234
2008,10,3.83249
2008,11,3.21522
2008,12,2.69245
2008,13,2.03366
2008,14,1.65275
2008,15,1.3113
2008,16,1.1652
2008,17,1.02035
2008,18,0.877607
2008,19,0.825107
2008,20,0.787315
2008,21,0.805439
2008,22,0.886061
2008,23,0.743743
2008,24,0.706842
2008,25,0.655943
2008,26,0.633492
2008,27,0.571837
2008,28,0.558278
2008,29,0.597893
2008,30,0.577222
2008,31,0.596987
2008,32,0.564653
2008,33,0.585682
2008,34,0.503985
2008,35,0.468139
2008,36,0.576455
2008,37,0.681361
2008,38,0.794764
2008,39,0.868116
2008,40,1.06828
2008,41,1.00756
2008,42,0.979399
2008,43,1.04943
2008,44,1.13218
2008,45,1.13156
2008,46,1.15469
2008,47,1.20448
2008,48,1.36081
2008,49,1.30322
2008,50,1.30204
2008,51,1.45109
2008,52,1.79927
2009,1,1.47138
2009,2,1.61555
2009,3,1.95333
2009,4,2.42907
2009,5,2.96686
2009,6,3.57354
2009,7,3.36653
2009,8,3.2962
2009,9,3.17227
2009,10,2.5804
2009,11,2.42922
2009,12,1.99028
2009,13,1.72423
2009,14,1.60355
2009,15,1.28418
2009,16,1.2932
2009,17,2.74012
2009,18,2.22391
2009,19,1.76657
2009,20,1.92171
2009,21,1.8611
2009,22,1.68423
2009,23,1.7393
2009,24,1.83001
2009,25,1.58128
2009,26,1.49172
2009,27,1.389
2009,28,1.34702
2009,29,1.16056
2009,30,1.2085
2009,31,1.15544
2009,32,1.14518
2009,33,1.4664
2009,34,2.38017
2009,35,3.44681
2009,36,4.05315
2009,37,4.26621
2009,38,4.21579
2009,39,4.8861
2009,40,6.06923
2009,41,7.09467
2009,42,7.7151
2009,43,7.55134
2009,44,6.67118
2009,45,5.20633
2009,46,4.04477
2009,47,3.49722
2009,48,2.69023
2009,49,2.47119
2009,50,2.44773
2009,51,2.64594
2009,52,2.61567
2010,1,1.90712
2010,2,1.86738
2010,3,1.88072
2010,4,1.96908
2010,5,2.11387
2010,6,2.09695
2010,7,1.90294
2010,8,1.96951
2010,9,1.92331
2010,10,1.89659
2010,11,1.75181
2010,12,1.52632
2010,13,1.49572
2010,14,1.22313
2010,15,1.17754
2010,16,1.09112
2010,17,1.11958
2010,18,1.08169
2010,19,1.12497
2010,20,1.06197
2010,21,1.08909
2010,22,1.1776
2010,23,0.97493
2010,24,0.987132
2010,25,0.995991
2010,26,0.904726
2010,27,0.941927
2010,28,0.880415
2010,29,0.842615
2010,30,0.858382
2010,31,0.83383
2010,32,0.847437
2010,33,0.888273
2010,34,0.765372
2010,35,0.91858
2010,36,1.01432
2010,37,1.01233
2010,38,1.11803
2010,39,1.11806
2010,40,1.10939
2010,41,1.24341
2010,42,1.25726
2010,43,1.25734
2010,44,1.43414
2010,45,1.51838
2010,46,1.61617
2010,47,1.84378
2010,48,1.72535
2010,49,1.87923
2010,50,2.3371
2010,51,3.03533
2010,52,3.136
2011,1,2.53336
2011,2,2.91288
2011,3,3.44497
2011,4,4.16185
2011,5,4.55159
2011,6,4.46504
2011,7,4.55124
2011,8,4.0822
2011,9,3.38812
2011,10,2.99142
2011,11,2.61542
2011,12,2.09065
2011,13,1.86146
2011,14,1.61377
2011,15,1.42199
2011,16,1.3382
2011,17,1.19995
2011,18,1.14889
2011,19,1.12194
2011,20,1.06712
2011,21,1.05058
2011,22,1.15203
2011,23,0.970975
2011,24,0.894683
2011,25,0.843568
2011,26,0.815409
2011,27,0.823052
2011,28,0.674635
2011,29,0.631883
2011,30,0.641513
2011,31,0.529813
2011,32,0.644089
2011,33,0.667718
2011,34,0.705668
2011,35,0.804155
2011,36,0.907804
2011,37,1.00555
2011,38,1.03601
2011,39,1.07583
2011,40,1.16092
2011,41,1.19785
2011,42,1.27926
2011,43,1.29194
2011,44,1.42824
2011,45,1.39803
2011,46,1.45831
2011,47,1.56548
2011,48,1.34313
2011,49,1.48139
2011,50,1.63398
2011,51,1.83126
2011,52,2.10451
2012,1,1.73625
2012,2,1.55066
2012,3,1.62891
2012,4,1.76038
2012,5,1.92728
2012,6,1.91994
2012,7,2.09951
2012,8,2.23973
2012,9,2.21921
2012,10,2.16693
2012,11,2.38913
2012,12,1.96466
2012,13,1.84229
2012,14,1.68674
2012,15,1.53136
2012,16,1.37912
2012,17,1.29515
2012,18,1.39521
2012,19,1.32522
2012,20,1.23059
2012,21,1.23028
2012,22,1.26877
2012,23,1.10782
2012,24,1.09559
2012,25,1.11031
2012,26,1.10616
2012,27,1.10816
2012,28,0.999444
2012,29,0.924199
2012,30,0.949257
2012,31,0.978903
2012,32,0.925024
2012,33,0.848456
2012,34,1.04451
2012,35,1.0986
2012,36,1.22071
2012,37,1.24976
2012,38,1.22892
2012,39,1.29393
2012,40,1.23034
2012,41,1.3278
2012,42,1.33995
2012,43,1.37842
2012,44,1.50085
2012,45,1.65163
2012,46,1.76746
2012,47,2.30609
2012,48,2.16324
2012,49,2.83038
2012,50,3.43761
2012,51,4.30554
2012,52,6.06082
2013,1,4.64931
2013,2,4.32584
2013,3,4.51113
2013,4,4.2171
2013,5,3.78956
2013,6,3.29206
2013,7,3.0197
2013,8,2.71499
2013,9,2.4845
2013,10,2.57808
2013,11,2.39237
2013,12,2.06778
2013,13,1.90281
2013,14,1.65902
2013,15,1.43006
2013,16,1.27757
2013,17,1.19009
2013,18,1.09556
2013,19,1.08589
2013,20,1.07343
2013,21,1.01677
2013,22,1.04847
2013,23,0.920349
2013,24,0.920779
2013,25,0.904333
2013,26,0.83057
2013,27,0.862837
2013,28,0.732182
2013,29,0.724558
2013,30,0.740848
2013,31,0.726037
2013,32,0.755639
2013,33,0.761847
